ranking_date,year,semester,rank,team,acronym,total_points,previous_points,diff_points
1992-12-31,1992,2,31,Portugal,POR,38.0,0.0,38.0
1992-12-31,1992,2,31,Zambia,ZAM,38.0,0.0,38.0
1992-12-31,1992,2,35,Colombia,COL,36.0,0.0,36.0
1992-12-31,1992,2,35,Hungary,HUN,36.0,0.0,36.0
1992-12-31,1992,2,37,Costa Rica,CRC,35.0,0.0,35.0
1992-12-31,1992,2,37,Tunisia,TUN,35.0,0.0,35.0
1992-12-31,1992,2,39,Ghana,GHA,34.0,0.0,34.0
1992-12-31,1992,2,40,Honduras,HON,32.0,0.0,32.0
1992-12-31,1992,2,40,Morocco,MAR,32.0,0.0,32.0
1992-12-31,1992,2,42,Finland,FIN,31.0,0.0,31.0
1992-12-31,1992,2,42,Northern Ireland,NIR,31.0,0.0,31.0
1992-12-31,1992,2,42,Turkey,TUR,31.0,0.0,31.0
1992-12-31,1992,2,45,Australia,AUS,29.0,0.0,29.0
1992-12-31,1992,2,45,Iceland,ISL,29.0,0.0,29.0
1992-12-31,1992,2,47,Chile,CHI,28.0,0.0,28.0
1992-12-31,1992,2,47,El Salvador,SLV,28.0,0.0,28.0
1992-12-31,1992,2,47,Saudi Arabia,KSA,28.0,0.0,28.0
1992-12-31,1992,2,47,South Korea,KOR,28.0,0.0,28.0
1992-12-31,1992,2,51,Gabon,GAB,27.0,0.0,27.0
1992-12-31,1992,2,51,Malawi,MWI,27.0,0.0,27.0
1992-12-31,1992,2,51,Qatar,QAT,27.0,0.0,27.0
1992-12-31,1992,2,51,Senegal,SEN,27.0,0.0,27.0
1992-12-31,1992,2,51,Zimbabwe,ZIM,27.0,0.0,27.0
1992-12-31,1992,2,56,China PR,CHN,26.0,0.0,26.0
1992-12-31,1992,2,57,Bermuda,BER,25.0,0.0,25.0
1992-12-31,1992,2,57,Canada,CAN,25.0,0.0,25.0
1992-12-31,1992,2,57,DR Congo,ZAI,25.0,0.0,25.0
1992-12-31,1992,2,57,United Arab Emirates,UAE,25.0,0.0,25.0
1992-12-31,1992,2,61,Guinea,GUI,24.0,0.0,24.0
1992-12-31,1992,2,61,Iran,IRN,24.0,0.0,24.0
1992-12-31,1992,2,61,Trinidad and Tobago,TRI,24.0,0.0,24.0
1992-12-31,1992,2,64,Ecuador,ECU,23.0,0.0,23.0
1992-12-31,1992,2,64,Israel,ISR,23.0,0.0,23.0
1992-12-31,1992,2,66,Jamaica,JAM,22.0,0.0,22.0
1992-12-31,1992,2,66,Japan,JPN,22.0,0.0,22.0
1992-12-31,1992,2,66,Mali,MLI,22.0,0.0,22.0
1992-12-31,1992,2,66,New Zealand,NZL,22.0,0.0,22.0
1992-12-31,1992,2,66,Paraguay,PAR,22.0,0.0,22.0
1992-12-31,1992,2,71,Kuwait,KUW,21.0,0.0,21.0
1992-12-31,1992,2,72,Cyprus,CYP,20.0,0.0,20.0
1992-12-31,1992,2,73,Malta,MLT,19.0,0.0,19.0
1992-12-31,1992,2,74,Madagascar,MAD,18.0,0.0,18.0
1992-12-31,1992,2,74,Thailand,THA,18.0,0.0,18.0
1992-12-31,1992,2,76,Kenya,KEN,17.0,0.0,17.0
1992-12-31,1992,2,77,Korea DPR,PRK,16.0,0.0,16.0
1992-12-31,1992,2,77,Peru,PER,16.0,0.0,16.0
1992-12-31,1992,2,77,Sierra Leone,SLE,16.0,0.0,16.0
1992-12-31,1992,2,80,Guatemala,GUA,15.0,0.0,15.0
1992-12-31,1992,2,80,Iraq,IRQ,15.0,0.0,15.0
1992-12-31,1992,2,80,Liberia,LBR,15.0,0.0,15.0
1992-12-31,1992,2,80,Niger,NIG,15.0,0.0,15.0
1992-12-31,1992,2,80,Tanzania,TAN,15.0,0.0,15.0
1992-12-31,1992,2,85,Albania,ALB,14.0,0.0,14.0
1992-12-31,1992,2,85,Bolivia,BOL,14.0,0.0,14.0
1992-12-31,1992,2,85,Ethiopia,ETH,14.0,0.0,14.0
1992-12-31,1992,2,88,Bahrain,BHR,13.0,0.0,13.0
1992-12-31,1992,2,88,Congo,CGO,13.0,0.0,13.0
1992-12-31,1992,2,88,Malaysia,MAS,13.0,0.0,13.0
1992-12-31,1992,2,88,Singapore,SGP,13.0,0.0,13.0
1992-12-31,1992,2,92,Faroe Islands,FRO,12.0,0.0,12.0
1992-12-31,1992,2,92,Lithuania,LTU,12.0,0.0,12.0
1992-12-31,1992,2,92,Suriname,SUR,12.0,0.0,12.0
1992-12-31,1992,2,92,Uganda,UGA,12.0,0.0,12.0
1992-12-31,1992,2,96,Burkina Faso,BFA,11.0,0.0,11.0
1992-12-31,1992,2,96,Syria,SYR,11.0,0.0,11.0
1992-12-31,1992,2,98,Angola,ANG,10.0,0.0,10.0
1992-12-31,1992,2,98,Burundi,BDI,10.0,0.0,10.0
1992-12-31,1992,2,98,Eswatini,SWZ,10.0,0.0,10.0
1992-12-31,1992,2,98,Latvia,LVA,10.0,0.0,10.0
1992-12-31,1992,2,98,Luxembourg,LUX,10.0,0.0,10.0
1992-12-31,1992,2,98,Togo,TOG,10.0,0.0,10.0
1992-12-31,1992,2,104,Fiji,FIJ,9.0,0.0,9.0
1992-12-31,1992,2,104,Indonesia,IDN,9.0,0.0,9.0
1992-12-31,1992,2,104,Mozambique,MOZ,9.0,0.0,9.0
1992-12-31,1992,2,104,St. Vincent and the Grenadines,VIN,9.0,0.0,9.0
1992-12-31,1992,2,108,Antigua and Barbuda,ATG,8.0,0.0,8.0
1992-12-31,1992,2,108,Jordan,JOR,8.0,0.0,8.0
1992-12-31,1992,2,110,Barbados,BRB,7.0,0.0,7.0
1992-12-31,1992,2,110,Croatia,CRO,7.0,0.0,7.0
1992-12-31,1992,2,110,Mauritius,MRI,7.0,0.0,7.0
1992-12-31,1992,2,110,Sudan,SDN,7.0,0.0,7.0
1992-12-31,1992,2,114,Guinea-Bissau,GNB,6.0,0.0,6.0
1992-12-31,1992,2,114,Oman,OMA,6.0,0.0,6.0
1992-12-31,1992,2,114,St. Lucia,LCA,6.0,0.0,6.0
1992-12-31,1992,2,114,Yemen,YEM,6.0,0.0,6.0
1992-12-31,1992,2,118,Grenada,GRN,5.0,0.0,5.0
1992-12-31,1992,2,118,Hong Kong,HKG,5.0,0.0,5.0
1992-12-31,1992,2,118,Panama,PAN,5.0,0.0,5.0
1992-12-31,1992,2,118,Puerto Rico,PUR,5.0,0.0,5.0
1992-12-31,1992,2,118,South Africa,RSA,5.0,0.0,5.0
1992-12-31,1992,2,118,Tahiti,TAH,5.0,0.0,5.0
1992-12-31,1992,2,118,Venezuela,VEN,5.0,0.0,5.0
1992-12-31,1992,2,125,Benin,BEN,4.0,0.0,4.0
1992-12-31,1992,2,125,Guyana,GUY,4.0,0.0,4.0
1992-12-31,1992,2,125,Haiti,HAI,4.0,0.0,4.0
1992-12-31,1992,2,125,San Marino,SMR,4.0,0.0,4.0
1992-12-31,1992,2,125,Ukraine,UKR,4.0,0.0,4.0
1992-12-31,1992,2,130,Bangladesh,BAN,3.0,0.0,3.0
1992-12-31,1992,2,130,Cape Verde,CPV,3.0,0.0,3.0
1992-12-31,1992,2,130,Estonia,EST,3.0,0.0,3.0
1992-12-31,1992,2,130,Mauritania,MTN,3.0,0.0,3.0
1992-12-31,1992,2,130,Slovenia,SVN,3.0,0.0,3.0
1992-12-31,1992,2,135,Botswana,BOT,2.0,0.0,2.0
1992-12-31,1992,2,135,Brunei Darussalam,BRU,2.0,0.0,2.0
1992-12-31,1992,2,135,Dominican Republic,DOM,2.0,0.0,2.0
1992-12-31,1992,2,135,India,IND,2.0,0.0,2.0
1992-12-31,1992,2,135,Lesotho,LES,2.0,0.0,2.0
1992-12-31,1992,2,135,Libya,LBY,2.0,0.0,2.0
1992-12-31,1992,2,135,Solomon Islands,SOL,2.0,0.0,2.0
1992-12-31,1992,2,142,Belarus,BLR,1.0,0.0,1.0
1992-12-31,1992,2,142,Central African Republic,CTA,1.0,0.0,1.0
1992-12-31,1992,2,142,Cuba,CUB,1.0,0.0,1.0
1992-12-31,1992,2,142,Gambia,GAM,1.0,0.0,1.0
1992-12-31,1992,2,142,Nepal,NEP,1.0,0.0,1.0
1992-12-31,1992,2,142,Pakistan,PAK,1.0,0.0,1.0
1992-12-31,1992,2,142,Seychelles,SEY,1.0,0.0,1.0
1992-12-31,1992,2,149,Aruba,ARU,0.0,0.0,0.0
1992-12-31,1992,2,149,Bahamas,BAH,0.0,0.0,0.0
1992-12-31,1992,2,149,Chad,CHA,0.0,0.0,0.0
1992-12-31,1992,2,149,Equatorial Guinea,EQG,0.0,0.0,0.0
1992-12-31,1992,2,149,Lebanon,LBN,0.0,0.0,0.0
1992-12-31,1992,2,149,Liechtenstein,LIE,0.0,0.0,0.0
1992-12-31,1992,2,149,Maldives,MDV,0.0,0.0,0.0
1992-12-31,1992,2,149,Myanmar,MYA,0.0,0.0,0.0
1992-12-31,1992,2,149,Namibia,NAM,0.0,0.0,0.0
1992-12-31,1992,2,149,Nicaragua,NCA,0.0,0.0,0.0
1992-12-31,1992,2,149,Philippines,PHI,0.0,0.0,0.0
1992-12-31,1992,2,149,Rwanda,RWA,0.0,0.0,0.0
1992-12-31,1992,2,149,Somalia,SOM,0.0,0.0,0.0
1992-12-31,1992,2,149,Taiwan,TPE,0.0,0.0,0.0
1992-12-31,1992,2,149,Vanuatu,VAN,0.0,0.0,0.0
1993-06-30,1993,1,1,Germany,GER,58.0,57.0,1.0
1993-06-30,1993,1,2,Italy,ITA,57.0,57.0,0.0
1993-06-30,1993,1,2,Switzerland,SUI,57.0,51.0,6.0
1993-06-30,1993,1,4,Argentina,ARG,56.0,51.0,5.0
1993-06-30,1993,1,4,Sweden,SWE,56.0,56.0,0.0
1993-06-30,1993,1,6,Republic of Ireland,IRL,55.0,54.0,1.0
1993-06-30,1993,1,6,Russia,RUS,55.0,52.0,3.0
1993-06-30,1993,1,8,Brazil,BRA,54.0,56.0,-2.0
1993-06-30,1993,1,8,Norway,NOR,54.0,49.0,5.0
1993-06-30,1993,1,10,Denmark,DEN,53.0,52.0,1.0
1993-06-30,1993,1,10,England,ENG,53.0,55.0,-2.0
1993-06-30,1993,1,12,France,FRA,52.0,46.0,6.0
1993-06-30,1993,1,13,Spain,ESP,51.0,49.0,2.0
1993-06-30,1993,1,14,Czechoslovakia,TCH,50.0,47.0,3.0
1993-06-30,1993,1,14,Mexico,MEX,50.0,43.0,7.0
1993-06-30,1993,1,14,Netherlands,NED,50.0,54.0,-4.0
1993-06-30,1993,1,14,Nigeria,NGA,50.0,50.0,0.0
1993-06-30,1993,1,18,Belgium,BEL,48.0,48.0,0.0
1993-06-30,1993,1,18,Colombia,COL,48.0,36.0,12.0
1993-06-30,1993,1,18,Poland,POL,48.0,46.0,2.0
1993-06-30,1993,1,21,Romania,ROU,47.0,51.0,-4.0
1993-06-30,1993,1,22,Portugal,POR,46.0,38.0,8.0
1993-06-30,1993,1,22,Uruguay,URU,46.0,48.0,-2.0
1993-06-30,1993,1,24,Cameroon,CMR,45.0,43.0,2.0
1993-06-30,1993,1,24,Zambia,ZAM,45.0,38.0,7.0
1993-06-30,1993,1,26,Egypt,EGY,44.0,45.0,-1.0
1993-06-30,1993,1,26,United States,USA,44.0,43.0,1.0
1993-06-30,1993,1,26,Wales,WAL,44.0,40.0,4.0
1993-06-30,1993,1,29,Côte d'Ivoire,CIV,43.0,41.0,2.0
1993-06-30,1993,1,30,Scotland,SCO,42.0,43.0,-1.0
1993-06-30,1993,1,31,Algeria,ALG,40.0,39.0,1.0
1993-06-30,1993,1,31,Ecuador,ECU,40.0,23.0,17.0
1993-06-30,1993,1,31,Greece,GRE,40.0,38.0,2.0
1993-06-30,1993,1,31,Morocco,MAR,40.0,32.0,8.0
1993-06-30,1993,1,31,South Korea,KOR,40.0,28.0,12.0
1993-06-30,1993,1,31,Tunisia,TUN,40.0,35.0,5.0
1993-06-30,1993,1,37,Austria,AUT,39.0,38.0,1.0
1993-06-30,1993,1,37,Bulgaria,BUL,39.0,41.0,-2.0
1993-06-30,1993,1,39,Costa Rica,CRC,38.0,35.0,3.0
1993-06-30,1993,1,40,Honduras,HON,37.0,32.0,5.0
1993-06-30,1993,1,40,Hungary,HUN,37.0,36.0,1.0
1993-06-30,1993,1,40,Northern Ireland,NIR,37.0,31.0,6.0
1993-06-30,1993,1,43,Japan,JPN,35.0,22.0,13.0
1993-06-30,1993,1,44,Canada,CAN,34.0,25.0,9.0
1993-06-30,1993,1,44,Chile,CHI,34.0,28.0,6.0
1993-06-30,1993,1,44,China PR,CHN,34.0,26.0,8.0
1993-06-30,1993,1,44,Finland,FIN,34.0,31.0,3.0
1993-06-30,1993,1,44,Ghana,GHA,34.0,34.0,0.0
1993-06-30,1993,1,44,Saudi Arabia,KSA,34.0,28.0,6.0
1993-06-30,1993,1,50,Zimbabwe,ZIM,33.0,27.0,6.0
1993-06-30,1993,1,51,Australia,AUS,32.0,29.0,3.0
1993-06-30,1993,1,51,Iceland,ISL,32.0,29.0,3.0
1993-06-30,1993,1,51,Iran,IRN,32.0,24.0,8.0
1993-06-30,1993,1,51,Qatar,QAT,32.0,27.0,5.0
1993-06-30,1993,1,55,Bolivia,BOL,31.0,14.0,17.0
1993-06-30,1993,1,55,Iraq,IRQ,31.0,15.0,16.0
1993-06-30,1993,1,55,Senegal,SEN,31.0,27.0,4.0
1993-06-30,1993,1,55,United Arab Emirates,UAE,31.0,25.0,6.0
1993-06-30,1993,1,55,Yugoslavia,YUG,31.0,39.0,-8.0
1993-06-30,1993,1,60,El Salvador,SLV,30.0,28.0,2.0
1993-06-30,1993,1,60,Korea DPR,PRK,30.0,16.0,14.0
1993-06-30,1993,1,60,Kuwait,KUW,30.0,21.0,9.0
1993-06-30,1993,1,63,Gabon,GAB,29.0,27.0,2.0
1993-06-30,1993,1,63,Turkey,TUR,29.0,31.0,-2.0
1993-06-30,1993,1,65,Guinea,GUI,28.0,24.0,4.0
1993-06-30,1993,1,66,Malawi,MWI,27.0,27.0,0.0
1993-06-30,1993,1,66,Paraguay,PAR,27.0,22.0,5.0
1993-06-30,1993,1,66,Thailand,THA,27.0,18.0,9.0
1993-06-30,1993,1,69,Israel,ISR,26.0,23.0,3.0
1993-06-30,1993,1,69,Peru,PER,26.0,16.0,10.0
1993-06-30,1993,1,71,Cyprus,CYP,25.0,20.0,5.0
1993-06-30,1993,1,71,DR Congo,ZAI,25.0,25.0,0.0
1993-06-30,1993,1,73,Mali,MLI,24.0,22.0,2.0
1993-06-30,1993,1,73,Singapore,SGP,24.0,13.0,11.0
1993-06-30,1993,1,75,Bermuda,BER,22.0,25.0,-3.0
1993-06-30,1993,1,75,Malaysia,MAS,22.0,13.0,9.0
1993-06-30,1993,1,77,Bahrain,BHR,21.0,13.0,8.0
1993-06-30,1993,1,77,Madagascar,MAD,21.0,18.0,3.0
1993-06-30,1993,1,77,New Zealand,NZL,21.0,22.0,-1.0
1993-06-30,1993,1,77,Niger,NIG,21.0,15.0,6.0
1993-06-30,1993,1,77,Syria,SYR,21.0,11.0,10.0
1993-06-30,1993,1,82,Jamaica,JAM,19.0,22.0,-3.0
1993-06-30,1993,1,82,Lithuania,LTU,19.0,12.0,7.0
1993-06-30,1993,1,82,Malta,MLT,19.0,19.0,0.0
1993-06-30,1993,1,85,Sierra Leone,SLE,18.0,16.0,2.0
1993-06-30,1993,1,85,Trinidad and Tobago,TRI,18.0,24.0,-6.0
1993-06-30,1993,1,87,Jordan,JOR,17.0,8.0,9.0
1993-06-30,1993,1,87,Kenya,KEN,17.0,17.0,0.0
1993-06-30,1993,1,87,Latvia,LVA,17.0,10.0,7.0
1993-06-30,1993,1,87,Yemen,YEM,17.0,6.0,11.0
1993-06-30,1993,1,91,Albania,ALB,15.0,14.0,1.0
1993-06-30,1993,1,91,Angola,ANG,15.0,10.0,5.0
1993-06-30,1993,1,91,Tanzania,TAN,15.0,15.0,0.0
1993-06-30,1993,1,94,Burundi,BDI,14.0,10.0,4.0
1993-06-30,1993,1,94,Ethiopia,ETH,14.0,14.0,0.0
1993-06-30,1993,1,94,Indonesia,IDN,14.0,9.0,5.0
1993-06-30,1993,1,94,Oman,OMA,14.0,6.0,8.0
1993-06-30,1993,1,94,Venezuela,VEN,14.0,5.0,9.0
1993-06-30,1993,1,99,Eswatini,SWZ,12.0,10.0,2.0
1993-06-30,1993,1,99,Hong Kong,HKG,12.0,5.0,7.0
1993-06-30,1993,1,99,Liberia,LBR,12.0,15.0,-3.0
1993-06-30,1993,1,99,Mozambique,MOZ,12.0,9.0,3.0
1993-06-30,1993,1,99,Puerto Rico,PUR,12.0,5.0,7.0
1993-06-30,1993,1,104,Barbados,BRB,11.0,7.0,4.0
1993-06-30,1993,1,104,Congo,CGO,11.0,13.0,-2.0
1993-06-30,1993,1,104,Faroe Islands,FRO,11.0,12.0,-1.0
1993-06-30,1993,1,104,Lebanon,LBN,11.0,0.0,11.0
1993-06-30,1993,1,104,Luxembourg,LUX,11.0,10.0,1.0
1993-06-30,1993,1,104,Myanmar,MYA,11.0,0.0,11.0
1993-06-30,1993,1,104,South Africa,RSA,11.0,5.0,6.0
1993-06-30,1993,1,104,Uganda,UGA,11.0,12.0,-1.0
1993-06-30,1993,1,112,Burkina Faso,BFA,10.0,11.0,-1.0
1993-06-30,1993,1,112,Guatemala,GUA,10.0,15.0,-5.0
1993-06-30,1993,1,112,Togo,TOG,10.0,10.0,0.0
1993-06-30,1993,1,115,Croatia,CRO,9.0,7.0,2.0
1993-06-30,1993,1,115,Fiji,FIJ,9.0,9.0,0.0
1993-06-30,1993,1,115,Suriname,SUR,9.0,12.0,-3.0
1993-06-30,1993,1,118,Bangladesh,BAN,8.0,3.0,5.0
1993-06-30,1993,1,118,Estonia,EST,8.0,3.0,5.0
1993-06-30,1993,1,118,Mauritius,MRI,8.0,7.0,1.0
1993-06-30,1993,1,118,San Marino,SMR,8.0,4.0,4.0
1993-06-30,1993,1,118,St. Vincent and the Grenadines,VIN,8.0,9.0,-1.0
1993-06-30,1993,1,123,Antigua and Barbuda,ATG,7.0,8.0,-1.0
1993-06-30,1993,1,123,Benin,BEN,7.0,4.0,3.0
1993-06-30,1993,1,123,Panama,PAN,7.0,5.0,2.0
1993-06-30,1993,1,123,Sudan,SDN,7.0,7.0,0.0
1993-06-30,1993,1,127,India,IND,6.0,2.0,4.0
1993-06-30,1993,1,127,Slovenia,SVN,6.0,3.0,3.0
1993-06-30,1993,1,129,Belarus,BLR,5.0,1.0,4.0
1993-06-30,1993,1,129,Botswana,BOT,5.0,2.0,3.0
1993-06-30,1993,1,129,Guinea-Bissau,GNB,5.0,6.0,-1.0
1993-06-30,1993,1,129,Guyana,GUY,5.0,4.0,1.0
1993-06-30,1993,1,129,Ukraine,UKR,5.0,4.0,1.0
1993-06-30,1993,1,129,Vietnam,VIE,5.0,0.0,5.0
1993-06-30,1993,1,135,Grenada,GRN,4.0,5.0,-1.0
1993-06-30,1993,1,135,St. Lucia,LCA,4.0,6.0,-2.0
1993-06-30,1993,1,135,Tahiti,TAH,4.0,5.0,-1.0
1993-06-30,1993,1,138,Haiti,HAI,3.0,4.0,-1.0
1993-06-30,1993,1,139,Brunei Darussalam,BRU,2.0,2.0,0.0
1993-06-30,1993,1,139,Cape Verde,CPV,2.0,3.0,-1.0
1993-06-30,1993,1,139,Dominican Republic,DOM,2.0,2.0,0.0
1993-06-30,1993,1,139,Laos,LAO,2.0,0.0,2.0
1993-06-30,1993,1,139,Lesotho,LES,2.0,2.0,0.0
1993-06-30,1993,1,139,Libya,LBY,2.0,2.0,0.0
1993-06-30,1993,1,139,Mauritania,MTN,2.0,3.0,-1.0
1993-06-30,1993,1,139,Solomon Islands,SOL,2.0,2.0,0.0
1993-06-30,1993,1,147,Central African Republic,CTA,1.0,1.0,0.0
1993-06-30,1993,1,147,Cuba,CUB,1.0,1.0,0.0
1993-06-30,1993,1,147,Gambia,GAM,1.0,1.0,0.0
1993-06-30,1993,1,147,Nicaragua,NCA,1.0,0.0,1.0
1993-06-30,1993,1,147,Pakistan,PAK,1.0,1.0,0.0
1993-06-30,1993,1,147,Seychelles,SEY,1.0,1.0,0.0
1993-06-30,1993,1,153,Aruba,ARU,0.0,0.0,0.0
1993-06-30,1993,1,153,Bahamas,BAH,0.0,0.0,0.0
1993-06-30,1993,1,153,Cayman Islands,CAY,0.0,0.0,0.0
1993-06-30,1993,1,153,Chad,CHA,0.0,0.0,0.0
1993-06-30,1993,1,153,Equatorial Guinea,EQG,0.0,0.0,0.0
1993-06-30,1993,1,153,Liechtenstein,LIE,0.0,0.0,0.0
1993-06-30,1993,1,153,Macau,MAC,0.0,0.0,0.0
1993-06-30,1993,1,153,Maldives,MDV,0.0,0.0,0.0
1993-06-30,1993,1,153,Namibia,NAM,0.0,0.0,0.0
1993-06-30,1993,1,153,Nepal,NEP,0.0,1.0,-1.0
1993-06-30,1993,1,153,Philippines,PHI,0.0,0.0,0.0
1993-06-30,1993,1,153,Sri Lanka,SRI,0.0,0.0,0.0
1993-06-30,1993,1,153,Taiwan,TPE,0.0,0.0,0.0
1993-06-30,1993,1,153,Vanuatu,VAN,0.0,0.0,0.0
1993-12-31,1993,2,1,Brazil,BRA,59.0,58.0,1.0
1993-12-31,1993,2,1,Germany,GER,59.0,59.0,0.0
1993-12-31,1993,2,1,Italy,ITA,59.0,60.0,-1.0
1993-12-31,1993,2,4,Norway,NOR,58.0,58.0,0.0
1993-12-31,1993,2,5,Denmark,DEN,57.0,57.0,0.0
1993-12-31,1993,2,5,Netherlands,NED,57.0,59.0,-2.0
1993-12-31,1993,2,5,Spain,ESP,57.0,57.0,0.0
1993-12-31,1993,2,8,Argentina,ARG,55.0,55.0,0.0
1993-12-31,1993,2,8,Sweden,SWE,55.0,55.0,0.0
1993-12-31,1993,2,10,England,ENG,54.0,56.0,-2.0
1993-12-31,1993,2,10,Republic of Ireland,IRL,54.0,54.0,0.0
1993-12-31,1993,2,10,Switzerland,SUI,54.0,55.0,-1.0
1993-12-31,1993,2,13,France,FRA,52.0,52.0,0.0
1993-12-31,1993,2,13,Romania,ROU,52.0,55.0,-3.0
1993-12-31,1993,2,13,Russia,RUS,52.0,52.0,0.0
1993-12-31,1993,2,16,Mexico,MEX,51.0,51.0,0.0
1993-12-31,1993,2,16,Nigeria,NGA,51.0,52.0,-1.0
1993-12-31,1993,2,16,Uruguay,URU,51.0,51.0,0.0
1993-12-31,1993,2,19,Czechoslovakia,TCH,49.0,50.0,-1.0
1993-12-31,1993,2,19,Portugal,POR,49.0,49.0,0.0
1993-12-31,1993,2,21,Colombia,COL,48.0,49.0,-1.0
1993-12-31,1993,2,22,Cameroon,CMR,46.0,46.0,0.0
1993-12-31,1993,2,22,United States,USA,46.0,45.0,1.0
1993-12-31,1993,2,24,Belgium,BEL,45.0,47.0,-2.0
1993-12-31,1993,2,24,Egypt,EGY,45.0,43.0,2.0
1993-12-31,1993,2,24,Poland,POL,45.0,45.0,0.0
1993-12-31,1993,2,24,Scotland,SCO,45.0,45.0,0.0
1993-12-31,1993,2,24,Zambia,ZAM,45.0,44.0,1.0
1993-12-31,1993,2,29,Bulgaria,BUL,44.0,46.0,-2.0
1993-12-31,1993,2,29,Morocco,MAR,44.0,44.0,0.0
1993-12-31,1993,2,29,Wales,WAL,44.0,44.0,0.0
1993-12-31,1993,2,32,Tunisia,TUN,43.0,40.0,3.0
1993-12-31,1993,2,33,Algeria,ALG,42.0,42.0,0.0
1993-12-31,1993,2,33,Côte d'Ivoire,CIV,42.0,41.0,1.0
1993-12-31,1993,2,33,Greece,GRE,42.0,42.0,0.0
1993-12-31,1993,2,36,Austria,AUT,40.0,41.0,-1.0
1993-12-31,1993,2,36,Ghana,GHA,40.0,37.0,3.0
1993-12-31,1993,2,38,Saudi Arabia,KSA,39.0,38.0,1.0
1993-12-31,1993,2,39,Honduras,HON,38.0,38.0,0.0
1993-12-31,1993,2,39,Northern Ireland,NIR,38.0,37.0,1.0
1993-12-31,1993,2,41,Costa Rica,CRC,37.0,39.0,-2.0
1993-12-31,1993,2,41,South Korea,KOR,37.0,38.0,-1.0
1993-12-31,1993,2,43,Canada,CAN,36.0,36.0,0.0
1993-12-31,1993,2,43,Finland,FIN,36.0,36.0,0.0
1993-12-31,1993,2,43,Iceland,ISL,36.0,36.0,0.0
1993-12-31,1993,2,43,Japan,JPN,36.0,36.0,0.0
1993-12-31,1993,2,43,Zimbabwe,ZIM,36.0,36.0,0.0
1993-12-31,1993,2,48,Australia,AUS,35.0,35.0,0.0
1993-12-31,1993,2,48,Ecuador,ECU,35.0,36.0,-1.0
1993-12-31,1993,2,50,Hungary,HUN,34.0,35.0,-1.0
1993-12-31,1993,2,50,United Arab Emirates,UAE,34.0,32.0,2.0
1993-12-31,1993,2,52,China PR,CHN,33.0,33.0,0.0
1993-12-31,1993,2,52,Qatar,QAT,33.0,33.0,0.0
1993-12-31,1993,2,52,Turkey,TUR,33.0,34.0,-1.0
1993-12-31,1993,2,55,Chile,CHI,32.0,33.0,-1.0
1993-12-31,1993,2,55,Senegal,SEN,32.0,30.0,2.0
1993-12-31,1993,2,57,Bolivia,BOL,31.0,31.0,0.0
1993-12-31,1993,2,57,Iran,IRN,31.0,31.0,0.0
1993-12-31,1993,2,57,Israel,ISR,31.0,30.0,1.0
1993-12-31,1993,2,60,Gabon,GAB,30.0,32.0,-2.0
1993-12-31,1993,2,60,Paraguay,PAR,30.0,30.0,0.0
